DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2014-02-28;22:06:00;VIA TAMBURINO SARDO;44;;Incidente stradale con feriti;Precedenza;2;2;0;1;0;0;0
2014-03-01;09:32:00;PIAZZA DEFFENU;12;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0
2014-03-01;12:11:00;VIA LAMARMORA;21;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0
2014-03-01;14:28:00;VIA FLAVIO GIOIA;sn;VIA VOLTA;Incidente stradale con feriti;Frontale / laterale;2;2;0;1;0;0;0
2014-03-01;15:54:00;VIA PIERO DELLA FRANCESCA;sn;VIA BROTZU;Incidente stradale senza feriti;Uscita x sbandamento;1;0;0;0;0;0;0
2014-03-01;22:17:00;VIA SONNINO;sn;VIA DELEDDA;Danneggiamento;Uscita x sbandamento;1;1;0;0;0;0;0
2014-03-02;00:51:00;VIALE TRENTO;sn;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;1;0;0;0;0;0
2014-03-02;02:26:00;VIA FAVONIO;sn;VIA GRECALE;Incidente stradale senza feriti;Urto con veicolo in sosta;5;1;0;0;0;0;0
2014-03-03;09:03:00;VIA DOLIANOVA;sn;VIA AMPERE;Incidente stradale con feriti;Investimento di pedone;1;0;2;0;1;0;0
2014-03-03;11:07:00;LARGO GENNARI;sn;;Incidente stradale con feriti;Frontale / laterale;2;1;1;1;0;0;0
2014-03-04;09:33:00;ASSE MEDIANO DI SCORRIMENTO;sn;;Incidente stradale con feriti;Tamponamento;5;4;3;3;0;0;0
2014-03-04;12:08:00;VIA TEMPIO;sn;VIA MACOMER;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0
2014-03-04;14:10:00;VIA TOTI;sn;VIA BIANCAMANO;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0
2014-03-05;08:31:00;ASSE MEDIANO DI SCORRIMENTO;km.8,200;;Incidente stradale con feriti;Uscita x sbandamento;1;1;2;2;0;0;0
2014-03-05;08:47:00;ASSE MEDIANO DI SCORRIMENTO;km.7,800;;Incidente stradale con feriti;Tamponamento;4;3;1;1;0;0;0
2014-03-05;10:23:00;PIAZZA S.BENEDETTO;sn;VIA SAN BENEDETTO;Incidente stradale con feriti;Frontale / laterale;2;1;1;0;1;0;0
2014-03-05;10:57:00;PIAZZA COSTITUZIONE;sn;VIALE REG. MARGHERITA;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-03-05;16:04:00;VIALE COLOMBO;sn;VIA CABOTO;Incidente stradale con feriti;Uscita x sbandamento;3;3;1;3;0;0;0
2014-03-05;17:22:00;VIALE MONASTIR;sn;VIALE TICCA;Incidente stradale con feriti;Frontale / laterale;2;1;1;2;0;0;0
2014-03-05;21:02:00;VIA PO;11;;Incidente stradale con feriti;Investimento di pedone;1;1;1;0;1;0;0
2014-03-06;10:27:00;VIA S.IGNAZIO DA LACONI;76;;Incidente stradale con feriti;Manovra di retromarcia;2;1;2;1;0;0;0
2014-03-06;18:01:00;VIA S.MARIA CHIARA;sn;VIA MONTECASSINO;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0
2014-03-07;08:39:00;VIALE MONASTIR;sn;VIA DOLCETTA;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0
2014-03-07;10:02:00;VIA PALESTRINA;sn;VIA ROSSINI;Incidente stradale con feriti;Frontale / laterale;2;2;0;0;1;0;0
2014-03-07;10:34:00;VIA MONTEVECCHIO;sn;VIA BAUDI DI VESME;Incidente stradale per caduta di pedone;Caduta di Pedone accidentale;0;0;1;1;0;0;0
2014-03-07;11:02:00;VIALE GUGLIELMO MARCONI;sn;;Incidente stradale senza feriti;Cambio di corsia;2;1;1;0;0;0;0
2014-03-07;13:32:00;VIA CADELLO;9;;Incidente stradale con feriti;Tamponamento;2;1;2;2;0;0;0
2014-03-07;13:51:00;VIA SAN BENEDETTO;sn;VIA PERGOLESI;Incidente stradale con feriti;Investimento di pedone;1;0;2;0;1;0;0
2014-03-07;15:49:00;VIA CIUSA;sn;VIA ROMAGNA;Incidente stradale con feriti;Frontale / laterale;2;1;1;1;0;0;0
2014-03-07;19:25:00;VIA PARTEOLLA;sn;VIA S.MARIA CHIARA;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-03-08;18:59:00;VIA BAUDI DI VESME;21;;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0
2014-03-09;07:20:00;VIALE S.AVENDRACE;284;;Incidente stradale con feriti;Urto con veicolo in sosta;2;2;0;2;0;0;0
2014-03-09;08:05:00;VIALE TRIESTE;176;;Incidente stradale con feriti;Apertura portiera;2;3;0;2;0;0;0
2014-03-09;18:52:00;VIA SAN BENEDETTO;sn;VIA CAVARO;Incidente stradale con feriti;Frontale / laterale;2;2;3;3;0;0;0
2014-03-09;21:33:00;VIALE S.AVENDRACE;fr Banco di Sardeg;;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0
2014-03-10;09:35:00;VIA CAMPANIA;48;;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0
2014-03-10;11:38:00;VIALE TRIESTE;sn;VICO TRIESTE;Incidente stradale con feriti;Tamponamento;2;2;0;1;0;0;0
2014-03-10;12:01:00;VIALE LA PLAIA;sn;VIA RIVA DI PONENTE;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0
2014-03-10;17:29:00;PIAZZA DETTORI;sn;;Incidente stradale per caduta di pedone;Caduta di pedone x buca;0;0;1;0;1;0;0
2014-03-11;09:55:00;VIA CAVALLO GUIDO;sn;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0
